id|sentence
CNXP-opiniao-20250502-7491424b|O que levanta a pergunta: estamos diante de uma estratégia corajosa e visionária ou de uma implosão gradual?
CNXP-opiniao-20250502-7491424b|A guerra comercial, especificamente contra a China, virou o palco central dessa disputa.
CNXP-opiniao-20250502-7491424b|De um lado, Trump sobe tarifas a níveis surreais sobre produtos chineses, num ataque comercial digno de filmes de ficção política.
CNXP-opiniao-20250502-7491424b|De outro, Xi Jinping avisa que a China já está com seu “plano de emergência” pronto para cenários extremos.
CNXP-opiniao-20250502-7491424b|Cada um com seu teatro.
CNXP-opiniao-20250502-7491424b|Cada um com suas cartas.
CNXP-opiniao-20250502-7491424b|E o mundo?
CNXP-opiniao-20250502-7491424b|Observa, sem entender muito se está assistindo a uma reedição moderna da Guerra Fria ou ao Kung-Fusão.
CNXP-opiniao-20250502-7491424b|Trump entendeu que não dá pra enfrentar a China usando as regras educadas da ONU ou qualquer norma escrita num ambiente com ar-condicionado e água Perrier.
CNXP-opiniao-20250502-7491424b|E então, usou o que tinha: poder tarifário.
CNXP-opiniao-20250502-7491424b|Começou com pequenas provocações e logo passou a escalar as taxas sobre os produtos chineses de forma tão agressiva que parecia pessoal.
CNXP-opiniao-20250502-7491424b|Foi subindo até se tornar praticamente proibitivo importar qualquer coisa da China.
CNXP-opiniao-20250502-7491424b|Um ataque comercial gradual, mas com a sutileza de um piano caindo do quinto andar.
CNXP-opiniao-20250502-7491424b|E não pense que foi uma ação isolada.
CNXP-opiniao-20250502-7491424b|Trump chegou a subir tarifas de vários países, só pra depois baixar tudo e equalizar em um mesmo patamar — menos a China.
CNXP-opiniao-20250502-7491424b|Só pra deixar claro, com todas as letras (ou taxas), onde estava o problema.
CNXP-opiniao-20250502-7491424b|Porque, veja bem, em política, como no xadrez, nem toda peça se move pra ser vista.
CNXP-opiniao-20250502-7491424b|Às vezes, ela se move para preparar o ataque que ninguém verá chegando.
CNXP-opiniao-20250502-7491424b|Quem joga xadrez entende: você não faz um movimento porque ele parece bonito.
CNXP-opiniao-20250502-7491424b|Você faz porque ele se conecta com algo maior, com uma estrutura de proteção, com uma intenção que só se revela lá na frente.
CNXP-opiniao-20250502-7491424b|Se você está movendo a torre pra chamar atenção ou levando o bispo pro centro só pra bater foto, sinto informar — você vai perder.
CNXP-opiniao-20250502-7491424b|E aqui vai a parte que dói: campanha política não é feed de Instagram.
CNXP-opiniao-20250502-7491424b|E like, meu amigo, não vence eleição.
CNXP-opiniao-20250502-7491424b|Enquanto tem gente por aí gastando rios de dinheiro em post com bordas coloridas e frase de efeito, os estrategistas de verdade estão em silêncio.
CNXP-opiniao-20250502-7491424b|Entrando na casa das pessoas sem estardalhaço.
CNXP-opiniao-20250502-7491424b|Porque eles sabem que quem grita antes da hora vira ruído.
CNXP-opiniao-20250502-7491424b|Quem se move no tempo certo vira nome na urna.
CNXP-opiniao-20250502-7491424b|Essa obsessão por aparecer — por ser curtido, validado, elogiado — é a armadilha moderna do político desesperado.
CNXP-opiniao-20250502-7491424b|A rede social, com seus algoritmos de dopamina, convenceu muita gente de que ser visto é sinônimo de ser relevante.
CNXP-opiniao-20250502-7491424b|Mas, na política, quanto mais você fala, mais você mostra.
CNXP-opiniao-20250502-7491424b|E, quanto mais você mostra, mais exposto fica.
CNXP-opiniao-20250502-7491424b|A melhor jogada?
CNXP-opiniao-20250502-7491424b|Avançar sem ser notado.
CNXP-opiniao-20250502-7491424b|Criar vínculos reais, construir grupos locais, montar uma rede viva e orgânica de apoiadores que acreditam em você não porque viram um vídeo bonito, mas porque já te ouviram de perto.
CNXP-opiniao-20250502-7491424b|É como dizem os mestres do tabuleiro: “A ameaça é mais poderosa que a execução.” Mostrar tudo, o tempo todo, esgota sua narrativa.
CNXP-opiniao-20250502-7491424b|Esconde o mistério.
CNXP-opiniao-20250502-7491424b|Rouba o impacto.
CNXP-opiniao-20250502-7491424b|Quando a campanha começar, é hora de falar alto.
CNXP-opiniao-20250502-7491424b|Mas agora, o mais sábio é falar baixo.
